,,Original circuit,,,Peephole,,,Peephole + LP,,,Qiskit,
Circuit,SQG,Entangling,T,SQG,Entangling,T,SQG,Entangling,T,SQG,Entangling,T
sat_n11_transpiled.qasm,1991,252,284.3,834,135,134.9,896,135,137.5,1007,252,233.8
seca_n11_transpiled.qasm,702,84,98.5,293,36,35.9,252,28,28.6,278,80,71.6
simon_n6_transpiled.qasm,126,14,16.8,5,1,0.8,5,1,0.8,54,14,12.8
swap_test_n25_transpiled.qasm,846,96,113.8,455,29,28.9,586,27,27.6,348,84,76.5
swap_test_n41_transpiled.qasm,1406,160,191.4,729,32,31.6,916,23,23.6,580,140,127.3
swap_test_n83_transpiled.qasm,2876,328,395.1,1441,38,37.5,2065,23,23.5,1189,287,260.7
teleportation_n3_transpiled.qasm,22,2,2.9,12,2,2.2,12,2,2.2,8,2,1.9
toffoli_n3_transpiled.qasm,51,6,7,41,6,6.2,37,5,5.3,31,6,5.8
variational_n4_transpiled.qasm,138,16,20.4,86,14,14.5,75,12,12.2,51,8,8.1
vqe_n4_transpiled.qasm,118,9,13.6,68,12,11.7,68,12,11.7,60,9,9.3
vqe_uccsd_n4_transpiled.qasm,678,88,103.8,121,23,22.7,118,19,19.7,289,71,66.7
vqe_uccsd_n6_transpiled.qasm,7294,1034,1152.3,604,108,106.5,710,98,99.8,3356,923,850.8
vqe_uccsd_n8_transpiled.qasm,36096,5284,5772.7,2542,389,389.8,2521,329,334.6,16623,4807,4394.3
wstate_n3_transpiled.qasm,80,9,11.1,52,9,9.2,52,9,9.2,33,6,6
wstate_n27_transpiled.qasm,469,52,60.7,267,53,50.7,267,53,50.7,238,52,46.7
wstate_n36_transpiled.qasm,631,70,81.7,357,71,67.7,357,71,67.7,319,70,62.8
wstate_n76_transpiled.qasm,1351,150,175.1,757,151,143.5,757,151,143.5,679,150,134.1
wstate_n118_transpiled.qasm,2107,234,273.1,1177,235,223,1177,235,223,1057,234,209.1
wstate_n380_transpiled.qasm,6823,758,884.6,3797,759,719.4,3797,759,719.4,3415,758,676.5
H2_UCCSD_BK_sto3g.qasm,283,38,44.7,93,15,15.4,92,13,13.7,108,26,24.6
H2_UCCSD_JW_631g.qasm,5318,768,824.5,832,113,113.6,767,81,83.8,277,62,59.7
H2_UCCSD_JW_sto3g.qasm,430,56,63.6,93,14,14.5,93,14,14.5,46,9,8.8
H2_UCCSD_P_sto3g.qasm,282,38,44.8,93,15,15.5,86,14,14.6,113,25,23.8
LiH_UCCSD_BK_sto3g.qasm,60162,8680,9068.8,5998,848,842.2,5231,484,502,1505,414,380.9
LiH_UCCSD_JW_sto3g.qasm,54020,8064,8500.4,6290,818,811.2,5449,502,519.2,1533,388,364
LiH_UCCSD_P_sto3g.qasm,53330,7640,8029.7,6621,912,904.5,5522,481,498.7,12217,3681,3328
ae_nativegates_ibm_qiskit_opt0_2.qasm,35,2,3.3,12,2,2.2,12,2,2.2,14,2,2.3
ae_nativegates_ibm_qiskit_opt0_3.qasm,80,6,8.7,35,5,5.3,35,5,5.3,30,6,6
ae_nativegates_ibm_qiskit_opt0_4.qasm,140,12,16.5,56,9,9.2,56,9,9.2,52,12,11.6
ae_nativegates_ibm_qiskit_opt0_5.qasm,215,20,27,81,15,14.8,87,14,14,79,20,18.7
ae_nativegates_ibm_qiskit_opt0_6.qasm,305,30,40,147,25,24.7,123,17,17,114,30,27.4
ae_nativegates_ibm_qiskit_opt0_7.qasm,410,42,55.5,192,27,26.7,181,23,22.8,154,42,37.9
ae_nativegates_ibm_qiskit_opt0_8.qasm,530,56,73.6,243,30,30.1,238,25,25.4,200,56,50.2
ae_nativegates_ibm_qiskit_opt0_9.qasm,665,72,94.3,275,35,35.3,320,30,30.9,252,72,64
ae_nativegates_ibm_qiskit_opt0_10.qasm,815,90,117.5,340,40,40.6,343,37,38.1,310,90,79.5
ae_nativegates_ibm_qiskit_opt0_11.qasm,980,110,143.2,451,59,59,535,49,50.2,374,110,96.7
ae_nativegates_ibm_qiskit_opt0_12.qasm,1160,132,171.5,511,65,65.6,571,54,55.6,444,132,115.4
ae_nativegates_ibm_qiskit_opt0_13.qasm,1355,156,202.4,596,81,81.1,639,63,64.7,519,156,136
ae_nativegates_ibm_qiskit_opt0_14.qasm,1565,182,235.8,628,87,85.6,765,74,75.8,602,182,158.2
ae_nativegates_ibm_qiskit_opt0_15.qasm,1790,210,271.8,789,95,95.4,926,76,78.7,690,210,182.2
ae_nativegates_ibm_qiskit_opt0_16.qasm,2030,240,310.3,905,108,107.4,994,83,84.7,784,240,207.6
ae_nativegates_ibm_qiskit_opt0_17.qasm,2285,272,351.4,1023,119,120,1136,89,92,884,272,234.9
ae_nativegates_ibm_qiskit_opt0_18.qasm,2555,306,395.1,1010,115,115,1264,95,98.3,990,306,263.7
ae_nativegates_ibm_qiskit_opt0_19.qasm,2840,342,441.2,1188,137,136.9,1393,106,110.4,1102,342,294.3
ae_nativegates_ibm_qiskit_opt0_20.qasm,3140,380,490,1250,144,144.3,1495,113,116.9,1214,378,325
ae_nativegates_ibm_qiskit_opt0_21.qasm,3455,420,541.3,1534,161,161.7,1764,125,129.2,1326,414,355.4
ae_nativegates_ibm_qiskit_opt0_22.qasm,3785,462,595.1,1579,168,167.5,1852,132,136.1,1438,450,386.1
ae_nativegates_ibm_qiskit_opt0_23.qasm,4130,506,651.6,1694,180,181.7,2109,139,143.6,1550,486,416.7
ae_nativegates_ibm_qiskit_opt0_24.qasm,4490,552,710.5,1664,187,188.9,2301,154,159.6,1662,522,447.1
ae_nativegates_ibm_qiskit_opt0_25.qasm,4865,600,772,1790,197,199.7,2413,155,160.8,1774,558,477.7
dj_nativegates_ibm_qiskit_opt0_2.qasm,18,1,2.1,15,2,2.3,15,2,2.3,8,1,1.2
dj_nativegates_ibm_qiskit_opt0_3.qasm,32,2,3.5,15,3,3.1,15,3,3.1,13,2,2.1
dj_nativegates_ibm_qiskit_opt0_4.qasm,44,3,4.9,16,3,3.1,16,3,3.1,15,3,2.9
dj_nativegates_ibm_qiskit_opt0_5.qasm,58,4,6.3,18,3,3.1,18,3,3.1,20,4,3.8
