,,Original circuit,,,Peephole,,,Peephole + LP,,,Qiskit,
Circuit,SQG,Entangling,T,SQG,Entangling,T,SQG,Entangling,T,SQG,Entangling,T
qft_nativegates_ibm_qiskit_opt0_6.qasm,297,39,44.8,152,25,24.7,151,19,19.8,167,39,37
qft_nativegates_ibm_qiskit_opt0_7.qasm,390,51,58.5,150,24,23.4,225,27,27.9,208,51,47.9
qft_nativegates_ibm_qiskit_opt0_8.qasm,516,68,77.4,215,34,33.8,242,29,29.6,269,68,63.6
qft_nativegates_ibm_qiskit_opt0_9.qasm,639,84,95.5,253,37,36.7,330,35,36.3,324,84,78.1
qft_nativegates_ibm_qiskit_opt0_10.qasm,795,105,118.8,342,52,51.9,406,43,43.3,397,105,97.4
qft_nativegates_ibm_qiskit_opt0_11.qasm,948,125,141.4,405,55,55.8,520,49,51.1,463,125,115.5
qft_nativegates_ibm_qiskit_opt0_12.qasm,1134,150,169.2,502,69,68.9,606,59,60.9,548,150,138.3
qft_nativegates_ibm_qiskit_opt0_13.qasm,1317,174,196.2,545,73,72.8,692,62,64.5,626,174,159.9
qft_nativegates_ibm_qiskit_opt0_14.qasm,1533,203,228.5,642,93,93.2,891,72,74.5,724,203,186.4
qft_nativegates_ibm_qiskit_opt0_15.qasm,1746,231,260,686,88,88.5,1010,83,85.1,814,231,211.6
qft_nativegates_ibm_qiskit_opt0_16.qasm,1992,264,296.6,818,111,111.4,1037,92,95,924,264,241.5
qft_nativegates_ibm_qiskit_opt0_17.qasm,2235,296,332.6,883,118,118.3,1144,93,96.6,1025,296,270.3
qft_nativegates_ibm_qiskit_opt0_18.qasm,2511,333,373.7,1094,137,138,1382,107,110.7,1146,333,303.9
qft_nativegates_ibm_qiskit_opt0_19.qasm,2784,369,414.1,1199,159,159.1,1500,113,117.3,1254,367,334.4
qft_nativegates_ibm_qiskit_opt0_20.qasm,3090,410,459.7,1184,140,141.8,1491,124,128.5,1375,404,368
qft_nativegates_ibm_qiskit_opt0_21.qasm,3393,450,504.5,1330,179,180.1,1821,139,144.2,1483,438,398.5
qft_nativegates_ibm_qiskit_opt0_22.qasm,3729,495,554.5,1403,169,172.1,2023,136,142.2,1603,475,432.1
qft_nativegates_ibm_qiskit_opt0_23.qasm,4062,539,603.8,1634,208,208.9,2183,157,163.4,1711,509,462.6
qft_nativegates_ibm_qiskit_opt0_24.qasm,4428,588,658.3,1604,190,191.5,2329,159,165.6,1834,546,496.2
qft_nativegates_ibm_qiskit_opt0_25.qasm,4791,636,712,1789,208,212.5,2479,180,187.7,1941,580,526.7
qftentangled_nativegates_ibm_qiskit_opt0_2.qasm,48,6,7.9,17,4,4.1,17,4,4.1,14,2,2.2
qftentangled_nativegates_ibm_qiskit_opt0_3.qasm,87,11,13.3,35,6,6.3,30,5,5.2,51,11,10.5
qftentangled_nativegates_ibm_qiskit_opt0_4.qasm,159,21,24.3,60,13,12.1,68,11,11.1,93,21,19.9
qftentangled_nativegates_ibm_qiskit_opt0_5.qasm,228,30,34.6,99,18,17.9,101,16,16.8,128,30,28.2
qftentangled_nativegates_ibm_qiskit_opt0_6.qasm,330,44,50,165,28,27.7,164,21,21.6,180,44,41.2
qftentangled_nativegates_ibm_qiskit_opt0_7.qasm,429,57,64.7,217,36,35.7,231,28,29,225,57,53
qftentangled_nativegates_ibm_qiskit_opt0_8.qasm,561,75,84.6,221,40,39.3,250,30,31.1,292,75,69.7
qftentangled_nativegates_ibm_qiskit_opt0_9.qasm,690,92,103.7,286,44,43.8,329,39,39.8,348,92,85
qftentangled_nativegates_ibm_qiskit_opt0_10.qasm,852,114,128.1,372,59,58.9,433,48,49.9,427,114,105.2
qftentangled_nativegates_ibm_qiskit_opt0_11.qasm,1011,135,151.7,440,66,66.1,538,48,49.7,495,135,124.2
qftentangled_nativegates_ibm_qiskit_opt0_12.qasm,1203,161,180.5,468,64,64.3,605,62,64,586,161,147.9
qftentangled_nativegates_ibm_qiskit_opt0_13.qasm,1392,186,208.5,582,78,78.5,735,63,65.4,668,186,170.4
qftentangled_nativegates_ibm_qiskit_opt0_14.qasm,1614,216,241.7,724,108,107.9,791,78,80.7,770,216,197.7
qftentangled_nativegates_ibm_qiskit_opt0_15.qasm,1833,245,274.2,741,99,100.3,1004,82,84.7,864,245,223.8
qftentangled_nativegates_ibm_qiskit_opt0_16.qasm,2085,279,311.9,921,124,125.1,1035,88,91.4,978,279,254.7
qftentangled_nativegates_ibm_qiskit_opt0_17.qasm,2334,312,348.8,876,119,120.1,1023,93,96.2,1082,312,284.4
qftentangled_nativegates_ibm_qiskit_opt0_18.qasm,2616,350,391,1102,147,148.6,1324,108,112.4,1207,350,318.8
qftentangled_nativegates_ibm_qiskit_opt0_19.qasm,2895,387,432.3,1088,140,140.8,1642,122,127.3,1318,385,350.2
qftentangled_nativegates_ibm_qiskit_opt0_20.qasm,3207,429,478.9,1289,167,167.4,1654,130,134.6,1445,423,384.7
qftentangled_nativegates_ibm_qiskit_opt0_21.qasm,3516,470,524.7,1394,169,170.5,1801,138,143.1,1555,458,416.1
qftentangled_nativegates_ibm_qiskit_opt0_22.qasm,3858,516,575.8,1495,188,191.2,2130,146,152.7,1682,496,450.6
qftentangled_nativegates_ibm_qiskit_opt0_23.qasm,4197,561,626,1573,203,204.1,2222,154,160.6,1794,531,482
qftentangled_nativegates_ibm_qiskit_opt0_24.qasm,4569,611,681.5,1781,218,220.4,2337,160,165.9,1918,569,516.5
qftentangled_nativegates_ibm_qiskit_opt0_25.qasm,4938,660,736.2,1832,237,239,2522,175,182.3,2029,604,547.9
qpeexact_nativegates_ibm_qiskit_opt0_2.qasm,22,2,2.9,12,2,2.2,12,2,2.2,8,1,1.3
qpeexact_nativegates_ibm_qiskit_opt0_3.qasm,61,7,8.7,19,3,3.1,19,3,3.1,29,4,4.3
qpeexact_nativegates_ibm_qiskit_opt0_4.qasm,97,11,13.8,30,6,5.9,30,6,5.9,55,10,9.9
qpeexact_nativegates_ibm_qiskit_opt0_5.qasm,211,26,31.8,92,14,13.7,106,13,13.4,113,25,24.1
qpeexact_nativegates_ibm_qiskit_opt0_6.qasm,277,34,42.3,133,20,19.9,149,19,19.5,135,33,31.1
qpeexact_nativegates_ibm_qiskit_opt0_7.qasm,376,47,58.2,188,23,23,163,18,18.1,182,46,42.7
qpeexact_nativegates_ibm_qiskit_opt0_8.qasm,517,65,80.5,294,40,39.5,245,29,29.2,252,64,59.8
qpeexact_nativegates_ibm_qiskit_opt0_9.qasm,646,82,101.5,300,37,37.4,309,34,34.9,312,81,75.2
qpeexact_nativegates_ibm_qiskit_opt0_10.qasm,772,98,122.3,340,47,46.4,386,41,41.5,358,97,89.3
qpeexact_nativegates_ibm_qiskit_opt0_11.qasm,976,125,155.1,501,62,61.8,509,49,49.6,465,124,114.7
qpeexact_nativegates_ibm_qiskit_opt0_12.qasm,1132,145,180.9,528,63,62.8,561,54,55.4,524,144,132.5
qpeexact_nativegates_ibm_qiskit_opt0_13.qasm,1321,170,212.1,636,76,75.7,757,66,68.6,607,169,154.9
qpeexact_nativegates_ibm_qiskit_opt0_14.qasm,1507,194,243.1,683,92,90.8,783,67,69.2,676,193,176
qpeexact_nativegates_ibm_qiskit_opt0_15.qasm,1786,231,288.3,862,99,99.2,987,71,73,820,230,210.8
qpeexact_nativegates_ibm_qiskit_opt0_16.qasm,2017,261,326.6,965,122,119.9,1129,92,94.8,913,260,237.8
qpeexact_nativegates_ibm_qiskit_opt0_17.qasm,2281,296,370.3,1129,125,125,1258,97,99.9,1031,295,269.5
qpeexact_nativegates_ibm_qiskit_opt0_18.qasm,2527,328,411.5,1156,130,131.8,1332,101,104.2,1126,327,298
qpeexact_nativegates_ibm_qiskit_opt0_19.qasm,2836,369,462.5,1449,152,153,1517,106,109.6,1268,368,335.4
qpeexact_nativegates_ibm_qiskit_opt0_20.qasm,3127,407,511,1600,173,173.7,1726,128,130.9,1383,404,367.7
qpeexact_nativegates_ibm_qiskit_opt0_21.qasm,3451,450,564.9,1723,175,175,1892,127,130.6,1512,443,403.1
qpeexact_nativegates_ibm_qiskit_opt0_22.qasm,3757,490,616.3,1793,194,195.4,2112,140,145.1,1613,477,433.4
qpeexact_nativegates_ibm_qiskit_opt0_23.qasm,4096,535,673,1925,194,195,2117,140,145.4,1732,514,466.5
qpeexact_nativegates_ibm_qiskit_opt0_24.qasm,4432,579,729.5,1984,221,221.2,2390,151,157,1831,548,496.6
qpeexact_nativegates_ibm_qiskit_opt0_25.qasm,4801,628,791.4,2098,213,213.8,2661,157,163,1950,585,529.6
qpeinexact_nativegates_ibm_qiskit_opt0_2.qasm,22,2,2.9,5,2,1.8,5,2,1.8,12,2,2.1
qpeinexact_nativegates_ibm_qiskit_opt0_3.qasm,76,9,11.1,24,5,4.6,24,5,4.6,41,7,7.1
qpeinexact_nativegates_ibm_qiskit_opt0_4.qasm,127,15,18.8,54,10,10.1,54,10,10.1,68,15,14.6
qpeinexact_nativegates_ibm_qiskit_opt0_5.qasm,211,26,31.8,108,15,15,95,16,16.1,115,26,25
qpeinexact_nativegates_ibm_qiskit_opt0_6.qasm,292,36,44.5,147,23,22.6,156,19,19.3,150,36,34.1
qpeinexact_nativegates_ibm_qiskit_opt0_7.qasm,406,51,62.7,211,29,28.6,211,24,23.8,209,51,48
qpeinexact_nativegates_ibm_qiskit_opt0_8.qasm,517,65,80.5,342,43,43.2,299,29,29.7,254,65,60.7
qpeinexact_nativegates_ibm_qiskit_opt0_9.qasm,661,84,103.7,349,48,47.5,288,36,36,327,84,78.2
qpeinexact_nativegates_ibm_qiskit_opt0_10.qasm,802,102,126.7,365,51,50.2,396,41,42,384,102,94.5
qpeinexact_nativegates_ibm_qiskit_opt0_11.qasm,976,125,155.1,513,63,62.4,528,49,50.3,468,125,115.6
qpeinexact_nativegates_ibm_qiskit_opt0_12.qasm,1147,147,183.2,617,73,73.4,642,53,54.5,536,147,135.4
qpeinexact_nativegates_ibm_qiskit_opt0_13.qasm,1351,174,216.6,643,84,83.2,651,60,61.7,633,174,160
qpeinexact_nativegates_ibm_qiskit_opt0_14.qasm,1552,200,249.8,742,87,86.2,815,67,68.9,715,200,183.5
qpeinexact_nativegates_ibm_qiskit_opt0_15.qasm,1786,231,288.3,833,104,103.8,915,76,77,823,231,211.7
qpeinexact_nativegates_ibm_qiskit_opt0_16.qasm,2017,261,326.6,1043,130,129.7,1217,92,94.8,915,261,238.6
qpeinexact_nativegates_ibm_qiskit_opt0_17.qasm,2281,296,370.3,1117,121,121.4,1168,92,94.6,1036,296,270.4
qpeinexact_nativegates_ibm_qiskit_opt0_18.qasm,2542,330,413.7,1251,134,135.1,1552,109,112.4,1139,330,301
qpeinexact_nativegates_ibm_qiskit_opt0_19.qasm,2836,369,462.5,1538,164,164.8,1514,109,113,1274,369,336.3
qpeinexact_nativegates_ibm_qiskit_opt0_20.qasm,3127,407,511,1487,161,162.9,1856,127,131.3,1384,405,368.6
qpeinexact_nativegates_ibm_qiskit_opt0_21.qasm,3451,450,564.9,1765,180,179.4,1938,122,126.5,1519,444,404
qpeinexact_nativegates_ibm_qiskit_opt0_22.qasm,3772,492,618.5,1813,189,188.6,2106,133,136.7,1630,480,436.3
qpeinexact_nativegates_ibm_qiskit_opt0_23.qasm,4126,539,677.5,2092,211,211.9,2389,150,154.7,1762,519,471.6
qpeinexact_nativegates_ibm_qiskit_opt0_24.qasm,4477,585,736.2,2078,215,215.4,2398,157,161.8,1871,555,504
qpeinexact_nativegates_ibm_qiskit_opt0_25.qasm,4861,636,800.3,2215,225,225.1,2644,168,174.6,2005,594,539.3
qwalk-noancilla_nativegates_ibm_qiskit_opt0_3.qasm,351,42,50.9,10,1,1.3,10,1,1.3,118,30,28.1
qwalk-noancilla_nativegates_ibm_qiskit_opt0_4.qasm,987,126,144,374,84,82.5,535,87,88.3,403,114,105
qwalk-noancilla_nativegates_ibm_qiskit_opt0_5.qasm,3015,342,415.4,1384,278,277,1919,280,285.8,1315,330,313.6
qwalk-noancilla_nativegates_ibm_qiskit_opt0_6.qasm,6927,894,1038.9,3276,547,548.2,4289,558,574.2,3173,882,808.4
qwalk-noancilla_nativegates_ibm_qiskit_opt0_7.qasm,14871,2022,2303.1,6752,1066,1061.2,8314,1009,1036.2,6925,2010,1815.6
qwalk-noancilla_nativegates_ibm_qiskit_opt0_8.qasm,30879,4302,4849.7,14310,2195,2161.4,16233,1909,1948.1,14509,4290,3848.7
qwalk-v-chain_nativegates_ibm_qiskit_opt0_3.qasm,351,42,50.9,10,1,1.3,10,1,1.3,118,30,28.1
qwalk-v-chain_nativegates_ibm_qiskit_opt0_5.qasm,987,114,134.4,482,97,96.1,693,118,119.3,365,102,93
qwalk-v-chain_nativegates_ibm_qiskit_opt0_7.qasm,1959,222,260.3,1188,213,210.8,1340,224,225.9,726,210,190.6
qwalk-v-chain_nativegates_ibm_qiskit_opt0_9.qasm,3267,366,428.2,2421,408,403.5,2722,397,406.5,1195,354,320.4
qwalk-v-chain_nativegates_ibm_qiskit_opt0_11.qasm,4911,546,638.2,3616,610,606.5,3824,578,585,1772,534,482.3
qwalk-v-chain_nativegates_ibm_qiskit_opt0_13.qasm,6891,762,890.1,5458,914,904.7,5767,850,863.2,2457,750,676.3
qwalk-v-chain_nativegates_ibm_qiskit_opt0_15.qasm,9207,1014,1184.1,7380,1206,1198.5,7501,1116,1135.4,3250,1002,902.4
qwalk-v-chain_nativegates_ibm_qiskit_opt0_17.qasm,11859,1302,1520.1,9360,1604,1593.6,9588,1489,1506.6,4151,1290,1160.6
qwalk-v-chain_nativegates_ibm_qiskit_opt0_19.qasm,14847,1626,1898.1,12503,2043,2027.2,12216,1896,1920,5160,1614,1450.9
random_nativegates_ibm_qiskit_opt0_2.qasm,78,6,9.6,31,7,7.1,36,8,8.2,15,2,2.2
random_nativegates_ibm_qiskit_opt0_3.qasm,167,18,22.8,99,21,20.9,103,20,20.3,71,13,12.9
random_nativegates_ibm_qiskit_opt0_4.qasm,294,26,35.7,143,27,27.1,179,28,28.9,138,25,24.8
random_nativegates_ibm_qiskit_opt0_5.qasm,423,40,53.4,228,39,39.8,218,31,32.1,147,26,25.8
random_nativegates_ibm_qiskit_opt0_6.qasm,500,49,63.5,331,44,44.9,323,43,44.3,240,46,44.8
random_nativegates_ibm_qiskit_opt0_7.qasm,736,69,92.2,390,65,64,384,57,57,326,63,61.8
random_nativegates_ibm_qiskit_opt0_8.qasm,950,93,122.1,599,92,91,523,66,66.4,409,83,79.6
random_nativegates_ibm_qiskit_opt0_9.qasm,1148,110,145.2,622,95,94.5,606,82,82.9,507,100,97.1
random_nativegates_ibm_qiskit_opt0_10.qasm,1346,140,175.7,898,127,126,753,79,79.5,626,125,121.4
random_nativegates_ibm_qiskit_opt0_11.qasm,2071,225,280.4,1311,185,184.4,1329,134,136.4,925,196,187.2
random_nativegates_ibm_qiskit_opt0_12.qasm,2632,285,356.2,1654,214,214,1663,151,154.4,1259,273,259.4
random_nativegates_ibm_qiskit_opt0_13.qasm,3008,311,397.8,1968,271,266.7,2066,186,190.3,1379,296,283.3
random_nativegates_ibm_qiskit_opt0_14.qasm,3484,366,464.6,2166,269,267,2166,182,185.6,1555,342,324.9
random_nativegates_ibm_qiskit_opt0_15.qasm,4322,466,580.3,2904,354,351.2,2809,228,233.4,1952,445,419.5
random_nativegates_ibm_qiskit_opt0_16.qasm,5128,568,702.2,3597,434,429.7,3535,257,262.2,2357,544,511.3
random_nativegates_ibm_qiskit_opt0_17.qasm,4791,496,632.4,3466,420,415.2,3197,240,244.8,2219,480,459.1
random_nativegates_ibm_qiskit_opt0_18.qasm,5710,611,764.9,4012,467,460.9,3692,279,284.1,2659,592,561.9
random_nativegates_ibm_qiskit_opt0_19.qasm,6233,682,848.4,4148,522,514,4050,310,314.5,2870,638,605.5
random_nativegates_ibm_qiskit_opt0_20.qasm,7225,783,974.3,4832,566,559.8,4986,329,335.2,3334,750,711
random_nativegates_ibm_qiskit_opt0_21.qasm,8054,879,1093.1,5818,644,635.4,6024,367,373.5,3779,838,796
random_nativegates_ibm_qiskit_opt0_22.qasm,8641,937,1168.1,6068,695,682.5,5740,362,367.9,3968,888,843.8
random_nativegates_ibm_qiskit_opt0_23.qasm,9934,1078,1345.1,7275,807,796.4,6982,429,437.8,4533,1032,976.4
realamprandom_nativegates_ibm_qiskit_opt0_2.qasm,58,3,5.9,20,2,2.4,20,2,2.4,24,3,3.3
realamprandom_nativegates_ibm_qiskit_opt0_3.qasm,114,9,13.7,42,10,9.6,42,10,9.6,41,9,8.5
realamprandom_nativegates_ibm_qiskit_opt0_4.qasm,188,18,24.6,102,16,16.4,77,14,14.5,68,18,16.3
realamprandom_nativegates_ibm_qiskit_opt0_5.qasm,280,30,38.5,135,19,18.8,94,13,12.7,101,30,26.4
realamprandom_nativegates_ibm_qiskit_opt0_6.qasm,390,45,55.4,164,20,20.4,108,17,17.7,140,45,38.9
realamprandom_nativegates_ibm_qiskit_opt0_7.qasm,518,63,75.3,238,28,28.4,173,16,16.9,185,63,53.8
realamprandom_nativegates_ibm_qiskit_opt0_8.qasm,664,84,98.2,244,31,30.6,167,19,19,236,84,71
realamprandom_nativegates_ibm_qiskit_opt0_9.qasm,828,108,124.2,305,39,38.5,175,23,24,293,108,90.5
realamprandom_nativegates_ibm_qiskit_opt0_10.qasm,1010,135,153.1,332,46,44.9,232,22,22.4,356,135,112.4
realamprandom_nativegates_ibm_qiskit_opt0_11.qasm,1210,165,185,444,53,52,235,23,23.2,425,165,136.6
realamprandom_nativegates_ibm_qiskit_opt0_12.qasm,1428,198,220,399,47,45.9,251,26,27.2,500,198,163.2
realamprandom_nativegates_ibm_qiskit_opt0_13.qasm,1664,234,257.9,543,63,62,345,30,31.1,581,234,192.1
realamprandom_nativegates_ibm_qiskit_opt0_14.qasm,1918,273,298.8,589,65,63.7,332,28,28.6,668,273,223.4
realamprandom_nativegates_ibm_qiskit_opt0_15.qasm,2190,315,342.8,638,76,74.4,345,30,31.2,761,315,257
realamprandom_nativegates_ibm_qiskit_opt0_16.qasm,2480,360,389.8,698,56,55.3,436,29,30.4,860,360,293
realamprandom_nativegates_ibm_qiskit_opt0_17.qasm,2788,408,439.7,686,75,73.7,416,31,31.6,965,408,331.3
realamprandom_nativegates_ibm_qiskit_opt0_18.qasm,3114,459,492.7,819,86,84.2,404,35,36.7,1076,459,371.9
realamprandom_nativegates_ibm_qiskit_opt0_19.qasm,3458,513,548.7,742,76,74.2,421,30,30.5,1193,513,414.9
realamprandom_nativegates_ibm_qiskit_opt0_20.qasm,3820,570,607.7,864,88,86.2,481,35,35.6,1316,570,460.3
realamprandom_nativegates_ibm_qiskit_opt0_21.qasm,4200,630,669.6,847,90,87,502,41,42.7,1445,630,507.9
su2random_nativegates_ibm_qiskit_opt0_2.qasm,66,3,6.3,30,6,6.3,30,6,6.3,24,3,3.3
su2random_nativegates_ibm_qiskit_opt0_3.qasm,126,9,14.8,49,9,9,49,9,9,48,9,9.1
su2random_nativegates_ibm_qiskit_opt0_4.qasm,204,18,26.2,68,10,9.9,68,10,9.9,77,18,17.3
su2random_nativegates_ibm_qiskit_opt0_5.qasm,300,30,40.5,87,11,11,87,11,11,113,30,27.8
su2random_nativegates_ibm_qiskit_opt0_6.qasm,414,45,57.9,106,12,12,106,12,12,155,45,40.6
su2random_nativegates_ibm_qiskit_opt0_7.qasm,546,63,78.2,125,13,13,125,13,13,203,63,55.8
su2random_nativegates_ibm_qiskit_opt0_8.qasm,696,84,101.5,144,14,14,144,14,14,258,84,73.3
su2random_nativegates_ibm_qiskit_opt0_9.qasm,864,108,127.9,163,15,15,163,15,15,317,108,93.1
su2random_nativegates_ibm_qiskit_opt0_10.qasm,1050,135,157.3,182,16,16,182,16,16,384,135,115.4
su2random_nativegates_ibm_qiskit_opt0_11.qasm,1254,165,189.6,201,17,17,201,17,17,456,165,139.9
su2random_nativegates_ibm_qiskit_opt0_12.qasm,1476,198,225,220,18,18,220,18,18,533,198,166.8
su2random_nativegates_ibm_qiskit_opt0_13.qasm,1716,234,263.4,239,19,19,239,19,19,618,234,196.1
su2random_nativegates_ibm_qiskit_opt0_14.qasm,1974,273,304.8,258,20,20,258,20,20,708,273,227.7
su2random_nativegates_ibm_qiskit_opt0_15.qasm,2250,315,349.2,277,21,21,277,21,21,803,315,261.6
su2random_nativegates_ibm_qiskit_opt0_16.qasm,2544,360,396.6,296,22,22,296,22,22,905,360,297.9
su2random_nativegates_ibm_qiskit_opt0_17.qasm,2856,408,447,315,23,23,315,23,23,1014,408,336.5
su2random_nativegates_ibm_qiskit_opt0_18.qasm,3186,459,500.4,334,24,24,334,24,24,1127,459,377.5
su2random_nativegates_ibm_qiskit_opt0_19.qasm,3534,513,556.8,353,25,25.1,353,25,25.1,1247,513,420.9
su2random_nativegates_ibm_qiskit_opt0_20.qasm,3900,570,616.2,372,26,26.1,372,26,26.1,1374,570,466.5
su2random_nativegates_ibm_qiskit_opt0_21.qasm,4284,630,678.7,391,27,27.1,391,27,27.1,1506,630,514.5
su2random_nativegates_ibm_qiskit_opt0_22.qasm,4686,693,744.1,410,28,28.1,410,28,28.1,1644,693,564.9
su2random_nativegates_ibm_qiskit_opt0_23.qasm,5106,759,812.5,429,29,29.1,429,29,29.1,1788,759,617.6
su2random_nativegates_ibm_qiskit_opt0_24.qasm,5544,828,884,448,30,30.1,448,30,30.1,1937,828,672.7
su2random_nativegates_ibm_qiskit_opt0_25.qasm,6000,900,958.5,467,31,31.1,467,31,31.1,2094,900,730.1
twolocalrandom_nativegates_ibm_qiskit_opt0_2.qasm,58,3,5.9,20,2,2.4,20,2,2.4,24,3,3.3
twolocalrandom_nativegates_ibm_qiskit_opt0_3.qasm,114,9,13.7,42,10,9.6,42,10,9.6,41,9,8.5
twolocalrandom_nativegates_ibm_qiskit_opt0_4.qasm,188,18,24.6,102,16,16.4,77,14,14.5,68,18,16.3
twolocalrandom_nativegates_ibm_qiskit_opt0_5.qasm,280,30,38.5,135,19,18.8,94,13,12.7,101,30,26.4
twolocalrandom_nativegates_ibm_qiskit_opt0_6.qasm,390,45,55.4,164,20,20.4,108,17,17.7,140,45,38.9
twolocalrandom_nativegates_ibm_qiskit_opt0_7.qasm,518,63,75.3,238,28,28.4,173,16,16.9,185,63,53.8
twolocalrandom_nativegates_ibm_qiskit_opt0_8.qasm,664,84,98.2,244,31,30.6,167,19,19,236,84,71
twolocalrandom_nativegates_ibm_qiskit_opt0_9.qasm,828,108,124.2,305,39,38.5,175,23,24,293,108,90.5
twolocalrandom_nativegates_ibm_qiskit_opt0_10.qasm,1010,135,153.1,332,46,44.9,232,22,22.4,356,135,112.4
twolocalrandom_nativegates_ibm_qiskit_opt0_11.qasm,1210,165,185,444,53,52,235,23,23.2,425,165,136.6
twolocalrandom_nativegates_ibm_qiskit_opt0_12.qasm,1428,198,220,399,47,45.9,251,26,27.2,500,198,163.2
twolocalrandom_nativegates_ibm_qiskit_opt0_13.qasm,1664,234,257.9,543,63,62,345,30,31.1,581,234,192.1
twolocalrandom_nativegates_ibm_qiskit_opt0_14.qasm,1918,273,298.8,589,65,63.7,322,28,28.5,668,273,223.4
twolocalrandom_nativegates_ibm_qiskit_opt0_15.qasm,2190,315,342.8,638,76,74.4,345,30,31.2,761,315,257
twolocalrandom_nativegates_ibm_qiskit_opt0_16.qasm,2480,360,389.8,698,56,55.3,436,29,30.4,860,360,293
twolocalrandom_nativegates_ibm_qiskit_opt0_17.qasm,2788,408,439.7,686,75,73.7,416,31,31.6,965,408,331.3
twolocalrandom_nativegates_ibm_qiskit_opt0_18.qasm,3114,459,492.7,819,86,84.2,404,35,36.7,1076,459,371.9
twolocalrandom_nativegates_ibm_qiskit_opt0_19.qasm,3458,513,548.7,742,76,74.2,421,30,30.5,1193,513,414.9
twolocalrandom_nativegates_ibm_qiskit_opt0_20.qasm,3820,570,607.7,864,88,86.2,481,35,35.6,1316,570,460.3
twolocalrandom_nativegates_ibm_qiskit_opt0_21.qasm,4200,630,669.6,847,90,87,502,41,42.7,1445,630,507.9
vqe_nativegates_ibm_qiskit_opt0_3.qasm,69,4,5.9,30,4,4,30,4,4,29,4,4.1
vqe_nativegates_ibm_qiskit_opt0_4.qasm,96,6,7.9,46,8,7.7,46,8,7.7,40,6,5.9
vqe_nativegates_ibm_qiskit_opt0_5.qasm,123,8,9.9,95,12,11.8,71,9,8.9,51,8,7.7
vqe_nativegates_ibm_qiskit_opt0_6.qasm,150,10,11.9,96,14,14.4,72,11,11.5,62,10,9.5
vqe_nativegates_ibm_qiskit_opt0_7.qasm,177,12,13.9,99,15,14.7,87,14,14.1,71,12,11.1
vqe_nativegates_ibm_qiskit_opt0_8.qasm,204,14,15.9,193,22,21.7,123,12,12.7,84,14,13
vqe_nativegates_ibm_qiskit_opt0_9.qasm,231,16,17.9,178,22,21.8,130,12,12.5,94,16,14.8
vqe_nativegates_ibm_qiskit_opt0_10.qasm,258,18,19.9,234,26,25.8,148,15,15.5,106,18,16.6
vqe_nativegates_ibm_qiskit_opt0_11.qasm,285,20,21.9,287,38,37.7,170,17,17.4,117,20,18.4
vqe_nativegates_ibm_qiskit_opt0_12.qasm,312,22,23.9,320,34,34.3,214,21,21.4,128,22,20.2
vqe_nativegates_ibm_qiskit_opt0_13.qasm,339,24,25.9,370,44,43.4,278,18,19.1,137,24,21.8
vqe_nativegates_ibm_qiskit_opt0_14.qasm,366,26,27.9,355,39,38.1,202,20,21,150,26,23.7
vqe_nativegates_ibm_qiskit_opt0_15.qasm,393,28,29.9,370,36,35.5,240,22,22.4,161,28,25.5
vqe_nativegates_ibm_qiskit_opt0_16.qasm,420,30,31.9,471,48,47.4,307,21,21.8,172,30,27.3
wstate_nativegates_ibm_qiskit_opt0_2.qasm,29,2,3.8,17,3,3.4,17,3,3.4,16,2,2.3
wstate_nativegates_ibm_qiskit_opt0_3.qasm,57,4,6.4,27,5,5.2,27,5,5.2,26,4,4.1
wstate_nativegates_ibm_qiskit_opt0_4.qasm,85,6,9.3,37,7,7.2,37,7,7.2,36,6,6
wstate_nativegates_ibm_qiskit_opt0_5.qasm,113,8,12.2,47,9,9.1,47,9,9.1,46,8,7.9
wstate_nativegates_ibm_qiskit_opt0_6.qasm,141,10,15.1,57,11,11,57,11,11,56,10,9.8
wstate_nativegates_ibm_qiskit_opt0_7.qasm,169,12,18,67,13,12.9,67,13,12.9,66,12,11.7
wstate_nativegates_ibm_qiskit_opt0_8.qasm,197,14,20.8,77,15,14.7,77,15,14.7,76,14,13.6
wstate_nativegates_ibm_qiskit_opt0_9.qasm,225,16,23.7,87,17,16.7,87,17,16.7,86,16,15.5
wstate_nativegates_ibm_qiskit_opt0_10.qasm,253,18,26.6,97,19,18.6,97,19,18.6,96,18,17.4
wstate_nativegates_ibm_qiskit_opt0_11.qasm,281,20,29.5,107,21,20.4,107,21,20.4,106,20,19.3
wstate_nativegates_ibm_qiskit_opt0_12.qasm,309,22,32.4,117,23,22.3,117,23,22.3,116,22,21.2
wstate_nativegates_ibm_qiskit_opt0_13.qasm,337,24,35.3,127,25,24.2,127,25,24.2,126,24,23.1
wstate_nativegates_ibm_qiskit_opt0_14.qasm,365,26,38.2,137,27,26.2,137,27,26.2,136,26,25
wstate_nativegates_ibm_qiskit_opt0_15.qasm,393,28,41,147,29,28.1,147,29,28.1,147,28,26.8
wstate_nativegates_ibm_qiskit_opt0_16.qasm,421,30,43.9,157,31,29.9,157,31,29.9,158,30,28.7
wstate_nativegates_ibm_qiskit_opt0_17.qasm,449,32,46.8,167,33,31.9,167,33,31.9,168,32,30.6
wstate_nativegates_ibm_qiskit_opt0_18.qasm,477,34,49.7,177,35,33.6,177,35,33.6,179,34,32.5
